Línea seleccionada,Documento medición,Punto de medida,Fecha,Hora medición,ValMed/Val.total cont.,UnidadCaracterística,Creado por,Posición de medida,Diferencia val. cont.,Equipo,Texto,Texto
,129508687,128130,03/12/2022,01:06:43 p. m.,15042,l,TECETZ,CONSUMO_OPH,254,16010579,CR5507 CAMION REVOLVEDOR,
,129508688,128132,03/12/2022,01:06:43 p. m.,2242,h,TECETZ,TIEMPO,40,16010579,CR5507 CAMION REVOLVEDOR,
,129508691,128133,03/12/2022,01:08:01 p. m.,20373,l,TECETZ,CONSUMO_OPH,140,16010580,CR5508 CAMION REVOLVEDOR,
,129508692,128135,03/12/2022,01:08:01 p. m.,3005,h,TECETZ,TIEMPO,20,16010580,CR5508 CAMION REVOLVEDOR,
,129633412,117237,03/12/2022,01:08:49 p. m.,93245,l,REVANGELIS,CONSUMO_OPH,201,16008143,CR4693 CAMION REVOLVEDOR,
,129633413,117239,03/12/2022,01:08:49 p. m.,11093,h,REVANGELIS,TIEMPO,23,16008143,CR4693 CAMION REVOLVEDOR,
,129592745,129404,03/12/2022,01:09:40 p. m.,1931,l,JSRODRIGUEZS,CONSUMO_OPH,312,16011865,CR5600 CAMION REVOLVEDOR,
,129592746,129406,03/12/2022,01:09:40 p. m.,206,h,JSRODRIGUEZS,TIEMPO,25,16011865,CR5600 CAMION REVOLVEDOR,
,129508693,128106,03/12/2022,01:10:03 p. m.,21690,l,TECETZ,CONSUMO_OPH,144,16010571,CR5499 CAMION REVOLVEDOR,
,129508694,128108,03/12/2022,01:10:03 p. m.,3253,h,TECETZ,TIEMPO,18,16010571,CR5499 CAMION REVOLVEDOR,
,129633416,116203,03/12/2022,01:11:07 p. m.,96092,l,REVANGELIS,CONSUMO_OPH,278,16007899,CR4458 CAMION REVOLVEDOR,
,129633417,116205,03/12/2022,01:11:07 p. m.,11494,h,REVANGELIS,TIEMPO,28,16007899,CR4458 CAMION REVOLVEDOR,
,129508695,128142,03/12/2022,01:11:30 p. m.,21899,l,TECETZ,CONSUMO_OPH,242,16010583,CR5511 CAMION REVOLVEDOR,
,129508696,128144,03/12/2022,01:11:30 p. m.,3172,h,TECETZ,TIEMPO,37,16010583,CR5511 CAMION REVOLVEDOR,
,129633418,116164,03/12/2022,01:11:33 p. m.,91195,l,REVANGELIS,CONSUMO_OPH,213,16007886,CR4445 CAMION REVOLVEDOR,
,129633419,116166,03/12/2022,01:11:33 p. m.,12294,h,REVANGELIS,TIEMPO,22,16007886,CR4445 CAMION REVOLVEDOR,
,129508615,54150,03/12/2022,01:12:23 p. m.,224940,l,EFRENLUGO,CONSUMO_OPH,160,11003600,CR3148 CAMION REVOLVEDOR,
,129508616,105309,03/12/2022,01:12:23 p. m.,34364,h,EFRENLUGO,TIEMPO,21,11003600,CR3148 CAMION REVOLVEDOR,
,129508697,128145,03/12/2022,01:13:00 p. m.,17506,l,TECETZ,CONSUMO_OPH,282,16010584,CR5512 CAMION REVOLVEDOR,
,129508698,128147,03/12/2022,01:13:00 p. m.,2702,h,TECETZ,TIEMPO,46,16010584,CR5512 CAMION REVOLVEDOR,
,129508699,123448,03/12/2022,01:16:29 p. m.,38209,l,TECETZ,CONSUMO_OPH,257,16009492,CR5368 CAMION REVOLVEDOR,
,129508730,123450,03/12/2022,01:16:29 p. m.,4542,h,TECETZ,TIEMPO,31,16009492,CR5368 CAMION REVOLVEDOR,
,129508731,123310,03/12/2022,01:17:57 p. m.,29630,l,TECETZ,CONSUMO_OPH,149,16009446,CR5322 CAMION REVOLVEDOR,
,129508732,123312,03/12/2022,01:17:57 p. m.,4030,h,TECETZ,TIEMPO,19,16009446,CR5322 CAMION REVOLVEDOR,
,129508537,51327,03/12/2022,01:18:56 p. m.,206882,l,DRIVERAGRC,CONSUMO_OPH,150,11001517,CR3107 CAMION REVOLVEDOR,
,129508538,101514,03/12/2022,01:18:56 p. m.,31933,h,DRIVERAGRC,TIEMPO,10.5,11001517,CR3107 CAMION REVOLVEDOR,
,129633442,129237,03/12/2022,01:18:58 p. m.,10331,l,REVANGELIS,CONSUMO_OPH,290,16011681,CR5598 CAMION REVOLVEDOR,
,129633443,129239,03/12/2022,01:18:58 p. m.,1162,h,REVANGELIS,TIEMPO,30,16011681,CR5598 CAMION REVOLVEDOR,
,129633444,116794,03/12/2022,01:19:21 p. m.,110447,l,REVANGELIS,CONSUMO_OPH,143,16008038,CR4580 CAMION REVOLVEDOR,
,129633445,116796,03/12/2022,01:19:21 p. m.,13740,h,REVANGELIS,TIEMPO,8,16008038,CR4580 CAMION REVOLVEDOR,
,129508733,128121,03/12/2022,01:19:36 p. m.,25096,l,TECETZ,CONSUMO_OPH,292,16010576,CR5504 CAMION REVOLVEDOR,
,129508734,128123,03/12/2022,01:19:36 p. m.,3512,h,TECETZ,TIEMPO,40,16010576,CR5504 CAMION REVOLVEDOR,
,129508743,127749,03/12/2022,01:19:51 p. m.,22221,l,JLLOPEZG,CONSUMO_OPH,265,16010457,CR5455 CAMION REVOLVEDOR,
,129508744,127751,03/12/2022,01:19:51 p. m.,2690.6,h,JLLOPEZG,TIEMPO,29.2,16010457,CR5455 CAMION REVOLVEDOR,
,129508539,93867,03/12/2022,01:19:52 p. m.,156656,l,DRIVERAGRC,CONSUMO_OPH,141,11007973,,
,129508740,107121,03/12/2022,01:19:52 p. m.,17436.5,h,DRIVERAGRC,TIEMPO,10.6,11007973,CR4089 CAMION REVOLVEDOR,
,129508880,94411,03/12/2022,01:20:00 p. m.,145306,l,ISERNA,CONSUMO_OPH,110,11008207,CR2119 CAMION REVOLVEDOR,
,129508881,106538,03/12/2022,01:20:00 p. m.,18078,h,ISERNA,TIEMPO,10,11008207,CR4180 CAMION REVOLVEDOR,
,129508741,51319,03/12/2022,01:20:37 p. m.,181072,l,DRIVERAGRC,CONSUMO_OPH,174,11001509,CR3007 CAMION REVOLVEDOR,
,129508742,105266,03/12/2022,01:20:37 p. m.,26194,h,DRIVERAGRC,TIEMPO,11,11001509,CR3007 CAMION REVOLVEDOR,
,129508735,128100,03/12/2022,01:21:06 p. m.,20642,l,TECETZ,CONSUMO_OPH,272,16010569,CR5497 CAMION REVOLVEDOR,
,129508736,128102,03/12/2022,01:21:06 p. m.,2874,h,TECETZ,TIEMPO,33,16010569,CR5497 CAMION REVOLVEDOR,
,129508745,111429,03/12/2022,01:21:14 p. m.,127688,l,DRIVERAGRC,CONSUMO_OPH,199,16007105,CR4247 CAMION REVOLVEDOR,
,129508746,111431,03/12/2022,01:21:14 p. m.,13579,h,DRIVERAGRC,TIEMPO,14,16007105,CR4247 CAMION REVOLVEDOR,
,129594507,94379,03/12/2022,01:21:26 p. m.,164731,l,DELIZONDOG,CONSUMO_OPH,200,11008199,CR4227 CAMION REVOLVEDOR,
,129594508,106681,03/12/2022,01:21:26 p. m.,18332,h,DELIZONDOG,TIEMPO,19,11008199,CR4227 CAMION REVOLVEDOR,
,129508749,127752,03/12/2022,01:21:49 p. m.,14492,l,JLLOPEZG,CONSUMO_OPH,215,16010458,CR5458 CAMION REVOLVEDOR,
,129508750,127754,03/12/2022,01:21:49 p. m.,1687,h,JLLOPEZG,TIEMPO,23.4,16010458,CR5458 CAMION REVOLVEDOR,
,129508747,54063,03/12/2022,01:21:51 p. m.,218003,l,JTREJOB,CONSUMO_OPH,120,16002096,CR2795 CAMION REVOLVEDOR,
,129508748,106124,03/12/2022,01:21:51 p. m.,38367.1,h,JTREJOB,TIEMPO,12.3,16002096,CR2795 CAMION REVOLVEDOR,
,129508737,128115,03/12/2022,01:22:34 p. m.,12914,l,TECETZ,CONSUMO_OPH,192,16010574,CR5502 CAMION REVOLVEDOR,
,129508738,128117,03/12/2022,01:22:34 p. m.,1866,h,TECETZ,TIEMPO,34,16010574,CR5502 CAMION REVOLVEDOR,
,129508751,54271,03/12/2022,01:22:35 p. m.,193538,l,JTREJOB,CONSUMO_OPH,210,16002250,CR3866 CAMION REVOLVEDOR,
,129508752,105799,03/12/2022,01:22:35 p. m.,28771,h,JTREJOB,TIEMPO,24,16002250,CR3866 CAMION REVOLVEDOR,
,129508753,123352,03/12/2022,01:22:42 p. m.,32913,l,JLLOPEZG,CONSUMO_OPH,200,16009460,CR5336 CAMION REVOLVEDOR,
,129508754,123354,03/12/2022,01:22:42 p. m.,3980.5,h,JLLOPEZG,TIEMPO,20.4,16009460,CR5336 CAMION REVOLVEDOR,
,129508739,127840,03/12/2022,01:23:27 p. m.,22541,l,JLLOPEZG,CONSUMO_OPH,260,16010511,CR5448 CAMION REVOLVEDOR,
,129508760,127842,03/12/2022,01:23:27 p. m.,2349.4,h,JLLOPEZG,TIEMPO,25.8,16010511,CR5448 CAMION REVOLVEDOR,
,129508761,128112,03/12/2022,01:24:08 p. m.,19487,l,TECETZ,CONSUMO_OPH,164,16010573,CR5501 CAMION REVOLVEDOR,
,129508762,128114,03/12/2022,01:24:08 p. m.,2785,h,TECETZ,TIEMPO,22,16010573,CR5501 CAMION REVOLVEDOR,
,129508768,128127,03/12/2022,01:25:57 p. m.,10991,l,TECETZ,CONSUMO_OPH,174,16010578,CR5506 CAMION REVOLVEDOR,
,129508769,128129,03/12/2022,01:25:57 p. m.,1528,h,TECETZ,TIEMPO,24,16010578,CR5506 CAMION REVOLVEDOR,
,129508783,122248,03/12/2022,01:27:27 p. m.,21517,l,TECETZ,CONSUMO_OPH,152,16009250,CR5212 CAMION REVOLVEDOR,
,129508784,122250,03/12/2022,01:27:27 p. m.,3175,h,TECETZ,TIEMPO,21,16009250,CR5212 CAMION REVOLVEDOR,
,129508713,116902,03/12/2022,01:44:45 p. m.,59021,l,JSCARRILLOP,CONSUMO_OPH,245,16008074,CR4616 CAMION REVOLVEDOR,
,129508714,116904,03/12/2022,01:44:45 p. m.,7805,h,JSCARRILLOP,TIEMPO,30,16008074,CR4616 CAMION REVOLVEDOR,
,129508721,94024,03/12/2022,01:46:41 p. m.,175582,l,RLUQUE,CONSUMO_OPH,290,11008044,CR4132 CAMION REVOLVEDOR,
,129508722,105103,03/12/2022,01:46:41 p. m.,17397.95,h,RLUQUE,TIEMPO,29.7,11008044,CR4132 CAMION REVOLVEDOR,
,129508715,116275,03/12/2022,01:56:28 p. m.,93172,l,JSCARRILLOP,CONSUMO_OPH,110,16007923,CR4482 CAMION REVOLVEDOR,
,129508716,116277,03/12/2022,01:56:28 p. m.,12230,h,JSCARRILLOP,TIEMPO,18,16007923,CR4482 CAMION REVOLVEDOR,
,129508717,116653,03/12/2022,01:57:20 p. m.,75653,l,JSCARRILLOP,CONSUMO_OPH,90,16007991,CR4533 CAMION REVOLVEDOR,
,129508718,116655,03/12/2022,01:57:20 p. m.,8809,h,JSCARRILLOP,TIEMPO,11,16007991,CR4533 CAMION REVOLVEDOR,
,129508719,122853,03/12/2022,01:59:32 p. m.,7150,l,JSCARRILLOP,CONSUMO_OPH,600,9000489,CF9346 CARGADOR FRONTAL,
,129508830,122854,03/12/2022,01:59:32 p. m.,4863,h,JSCARRILLOP,TIEMPO,47,9000489,CF9346 CARGADOR FRONTAL,
,129508831,116179,03/12/2022,02:00:19 p. m.,115928,l,JSCARRILLOP,CONSUMO_OPH,210,16007891,CR4450 CAMION REVOLVEDOR,
,129508832,116181,03/12/2022,02:00:19 p. m.,13744,h,JSCARRILLOP,TIEMPO,30,16007891,CR4450 CAMION REVOLVEDOR,
,129508833,54080,03/12/2022,02:01:02 p. m.,226937,l,JSCARRILLOP,CONSUMO_OPH,210,16002113,CR2816 CAMION REVOLVEDOR,
,129508834,105429,03/12/2022,02:01:02 p. m.,40048.5,h,JSCARRILLOP,TIEMPO,25,16002113,CR2816 CAMION REVOLVEDOR,
,129508557,54196,03/12/2022,02:05:02 p. m.,262103,l,SHRAMIREZ,CONSUMO_OPH,259,16002175,CR3445 CAMION REVOLVEDOR,
,129508558,105310,03/12/2022,02:05:02 p. m.,36988,h,SHRAMIREZ,TIEMPO,30,16002175,CR3445 CAMION REVOLVEDOR,
,129662288,116815,03/12/2022,02:06:05 p. m.,102592,l,JNAVARROV,CONSUMO_OPH,182,16008045,CR4587 CAMION REVOLVEDOR,
,129662289,116817,03/12/2022,02:06:05 p. m.,13028,h,JNAVARROV,TIEMPO,25,16008045,CR4587 CAMION REVOLVEDOR,
,129508723,118789,03/12/2022,02:07:45 p. m.,49917,l,JRCRUZMRT,CONSUMO_OPH,193,9000411,GN0224 GENERADORA,
,129508724,127696,03/12/2022,02:07:45 p. m.,13346,h,JRCRUZMRT,TIEMPO,20,9000411,GN0224 GENERADORA,
,129508588,118900,03/12/2022,02:10:20 p. m.,83390,l,ERRIVERA,CONSUMO_OPH,134,16008586,CR4761 CAMION REVOLVEDOR,
,129508589,118912,03/12/2022,02:10:20 p. m.,8930,h,ERRIVERA,TIEMPO,15,16008586,CR4761 CAMION REVOLVEDOR,
,129508835,123517,03/12/2022,02:10:23 p. m.,36402,l,JSCARRILLOP,CONSUMO_OPH,115,16009515,CR5391 CAMION REVOLVEDOR,
,129508836,123519,03/12/2022,02:10:23 p. m.,4961,h,JSCARRILLOP,TIEMPO,17,16009515,CR5391 CAMION REVOLVEDOR,
,129508559,54119,03/12/2022,02:11:12 p. m.,192309,l,SHRAMIREZ,CONSUMO_OPH,227,11003569,CR3068 CAMION REVOLVEDOR,
,129508840,107812,03/12/2022,02:11:12 p. m.,40838,h,SHRAMIREZ,TIEMPO,18,11003569,CR3068 CAMION REVOLVEDOR,
,129508841,54157,03/12/2022,02:12:37 p. m.,226406,l,SHRAMIREZ,CONSUMO_OPH,174,16002136,CR3191 CAMION REVOLVEDOR,
,129508842,105467,03/12/2022,02:12:37 p. m.,34390,h,SHRAMIREZ,TIEMPO,17,16002136,CR3191 CAMION REVOLVEDOR,
,129508755,119047,03/12/2022,02:13:02 p. m.,65261,l,ERRIVERA,CONSUMO_OPH,90,16008633,CR4780 CAMION REVOLVEDOR,
,129508756,119049,03/12/2022,02:13:02 p. m.,7291,h,ERRIVERA,TIEMPO,12,16008633,CR4780 CAMION REVOLVEDOR,
,129508757,119117,03/12/2022,02:13:54 p. m.,67477,l,ERRIVERA,CONSUMO_OPH,105,16008655,CR4790 CAMION REVOLVEDOR,
,129508758,119119,03/12/2022,02:13:54 p. m.,8078,h,ERRIVERA,TIEMPO,12,16008655,CR4790 CAMION REVOLVEDOR,
,129508759,118935,03/12/2022,02:14:37 p. m.,52265,l,ERRIVERA,CONSUMO_OPH,100,16008600,CR4766 CAMION REVOLVEDOR,
,129508850,118937,03/12/2022,02:14:37 p. m.,5714,h,ERRIVERA,TIEMPO,10,16008600,CR4766 CAMION REVOLVEDOR,
,129508851,119085,03/12/2022,02:15:18 p. m.,63772,l,ERRIVERA,CONSUMO_OPH,68,16008646,CR4786 CAMION REVOLVEDOR,
,129508852,119087,03/12/2022,02:15:18 p. m.,7194,h,ERRIVERA,TIEMPO,10,16008646,CR4786 CAMION REVOLVEDOR,
,129508860,118888,03/12/2022,02:16:18 p. m.,72585,l,ERRIVERA,CONSUMO_OPH,100,16008578,CR4757 CAMION REVOLVEDOR,
,129508861,118890,03/12/2022,02:16:18 p. m.,8402,h,ERRIVERA,TIEMPO,13,16008578,CR4757 CAMION REVOLVEDOR,
,129508827,52433,03/12/2022,02:16:22 p. m.,198267,l,ALCRODRIGUEZ,CONSUMO_OPH,221,16001432,CR2841 CAMION REVOLVEDOR,
,129508828,106117,03/12/2022,02:16:22 p. m.,33672.2,h,ALCRODRIGUEZ,TIEMPO,37.3,16001432,CR2841 CAMION REVOLVEDOR,
,129508829,123451,03/12/2022,02:16:48 p. m.,44639,l,ALCRODRIGUEZ,CONSUMO_OPH,280,16009493,CR5369 CAMION REVOLVEDOR,
,129508870,123453,03/12/2022,02:16:48 p. m.,4664,h,ALCRODRIGUEZ,TIEMPO,46.6,16009493,CR5369 CAMION REVOLVEDOR,
,129508871,53519,03/12/2022,02:17:15 p. m.,226351,l,ALCRODRIGUEZ,CONSUMO_OPH,186,16001943,CR3921 CAMION REVOLVEDOR,
,129508872,101617,03/12/2022,02:17:15 p. m.,36919.8,h,ALCRODRIGUEZ,TIEMPO,42.4,16001943,CR3921 CAMION REVOLVEDOR,
,129508862,118900,03/12/2022,02:17:16 p. m.,83450,l,ERRIVERA,CONSUMO_OPH,60,16008586,CR4761 CAMION REVOLVEDOR,
,129508863,118912,03/12/2022,02:17:16 p. m.,8936,h,ERRIVERA,TIEMPO,6,16008586,CR4761 CAMION REVOLVEDOR,
,129508873,120370,03/12/2022,02:17:37 p. m.,75999,l,ALCRODRIGUEZ,CONSUMO_OPH,250,16008976,CR5118 CAMION REVOLVEDOR,
,129508874,120372,03/12/2022,02:17:37 p. m.,8904.2,h,ALCRODRIGUEZ,TIEMPO,42.1,16008976,CR5118 CAMION REVOLVEDOR,
,129508864,114601,03/12/2022,02:17:55 p. m.,11325,l,RFCABALLERO,CONSUMO_OPH,80,9000293,CF9257 CARGADOR FRONTAL,
,129508865,114602,03/12/2022,02:17:55 p. m.,2683,h,RFCABALLERO,TIEMPO,8,9000293,CF9257 CARGADOR FRONTAL,
,129508843,128654,03/12/2022,02:18:09 p. m.,10459,l,SHRAMIREZ,CONSUMO_OPH,130,9000568,CF9376 CARGADOR FRONTAL,
,129508844,128655,03/12/2022,02:18:09 p. m.,1840,h,SHRAMIREZ,TIEMPO,28,9000568,CF9376 CARGADOR FRONTAL,
,129508875,53071,03/12/2022,02:18:18 p. m.,57916,l,ALCRODRIGUEZ,CONSUMO_OPH,111,16001730,CF9107 CARGADOR FRONTAL,
,129508876,56987,03/12/2022,02:18:18 p. m.,18219,h,ALCRODRIGUEZ,TIEMPO,18,16001730,CF9107 CARGADOR FRONTAL,
,129508866,119548,03/12/2022,02:19:50 p. m.,59957,l,RFCABALLERO,CONSUMO_OPH,229,16008748,CR4897 CAMION REVOLVEDOR,
,129508867,119550,03/12/2022,02:19:50 p. m.,7629,h,RFCABALLERO,TIEMPO,25,16008748,CR4897 CAMION REVOLVEDOR,
,129508837,120019,03/12/2022,02:20:01 p. m.,66398,l,GRFRIAS,CONSUMO_OPH,260,16008859,CR5001 CAMION REVOLVEDOR,
,129508838,120021,03/12/2022,02:20:01 p. m.,7594,h,GRFRIAS,TIEMPO,36,16008859,CR5001 CAMION REVOLVEDOR,
,129508845,52054,03/12/2022,02:20:36 p. m.,163927,l,SHRAMIREZ,CONSUMO_OPH,227,11002129,CR3241 CAMION REVOLVEDOR,
,129508846,106677,03/12/2022,02:20:36 p. m.,29240,h,SHRAMIREZ,TIEMPO,22,11002129,CR3241 CAMION REVOLVEDOR,
,129508725,116800,03/12/2022,02:24:53 p. m.,86152,l,JRCRUZMRT,CONSUMO_OPH,210,16008040,CR4582 CAMION REVOLVEDOR,
,129508726,116802,03/12/2022,02:24:53 p. m.,11315,h,JRCRUZMRT,TIEMPO,28,16008040,CR4582 CAMION REVOLVEDOR,
,129727661,118929,03/12/2022,02:26:17 p. m.,74758,l,AANTONIO,CONSUMO_OPH,229,16008594,CR4804 CAMION REVOLVEDOR,
,129727662,118941,03/12/2022,02:26:17 p. m.,7980,h,AANTONIO,TIEMPO,23,16008594,CR4804 CAMION REVOLVEDOR,
,129508905,119689,03/12/2022,02:26:57 p. m.,76094,l,RFCABALLERO,CONSUMO_OPH,250,16008808,CR4949 CAMION REVOLVEDOR,
,129508906,119851,03/12/2022,02:26:57 p. m.,8834,h,RFCABALLERO,TIEMPO,41,16008808,CR4949 CAMION REVOLVEDOR,
,129508847,52459,03/12/2022,02:28:00 p. m.,143044,l,SHRAMIREZ,CONSUMO_OPH,168,16001447,CR3319 CAMION REVOLVEDOR,
,129508848,106321,03/12/2022,02:28:00 p. m.,21677,h,SHRAMIREZ,TIEMPO,16,16001447,CR3319 CAMION REVOLVEDOR,
,129508849,94379,03/12/2022,02:30:45 p. m.,164924,l,SRGARCIAB,CONSUMO_OPH,193,11008199,CR4227 CAMION REVOLVEDOR,
,129508940,106681,03/12/2022,02:30:45 p. m.,18333,h,SRGARCIAB,TIEMPO,1,11008199,CR4227 CAMION REVOLVEDOR,
,129508929,53426,03/12/2022,02:30:49 p. m.,212731,l,SHRAMIREZ,CONSUMO_OPH,249,16001850,CR3395 CAMION REVOLVEDOR,
,129508930,106618,03/12/2022,02:30:49 p. m.,34389,h,SHRAMIREZ,TIEMPO,24,16001850,CR3395 CAMION REVOLVEDOR,
,129508727,110963,03/12/2022,02:30:52 p. m.,14533,l,JRCRUZMRT,CONSUMO_OPH,148,9000247,CF9239,
,129508728,110964,03/12/2022,02:30:52 p. m.,8631.09,h,JRCRUZMRT,TIEMPO,16,9000247,CF9239,
,129508955,61682,03/12/2022,02:32:36 p. m.,125616,l,SHRAMIREZ,CONSUMO_OPH,202,16004690,CR3372 CAMION REVOLVEDOR,
,129508956,108202,03/12/2022,02:32:36 p. m.,26056,h,SHRAMIREZ,TIEMPO,20,16004690,CR3372 CAMION REVOLVEDOR,
,129508975,94008,03/12/2022,02:36:26 p. m.,137716,l,SHRAMIREZ,CONSUMO_OPH,250,11008036,,
,129508976,101584,03/12/2022,02:36:26 p. m.,16890,h,SHRAMIREZ,TIEMPO,19,11008036,CR4131 CAMION REVOLVEDOR,
,129600202,116668,03/12/2022,02:37:47 p. m.,120061,l,POCHOAF,CONSUMO_OPH,118,16007996,CR4538 CAMION REVOLVEDOR,
,129600203,116670,03/12/2022,02:37:47 p. m.,14963,h,POCHOAF,TIEMPO,12,16007996,CR4538 CAMION REVOLVEDOR,
,129508977,94157,03/12/2022,02:39:03 p. m.,231908,l,SHRAMIREZ,CONSUMO_OPH,195,11008096,CR4138 CAMION REVOLVEDOR,
,129508978,105253,03/12/2022,02:39:03 p. m.,21001,h,SHRAMIREZ,TIEMPO,18,11008096,CR4138 CAMION REVOLVEDOR,
,129508877,51969,03/12/2022,02:40:07 p. m.,110395,l,ERAMOSM,CONSUMO_OPH,192,16001134,CR2893 CAMION REVOLVEDOR,
,129508878,106649,03/12/2022,02:40:07 p. m.,26871,h,ERAMOSM,TIEMPO,12,16001134,CR2893 CAMION REVOLVEDOR,
,129508979,54257,03/12/2022,02:40:38 p. m.,157333,l,SHRAMIREZ,CONSUMO_OPH,177,16002236,CR3791 CAMION REVOLVEDOR,
,129508980,122715,03/12/2022,02:40:38 p. m.,2566,h,SHRAMIREZ,TIEMPO,14,16002236,CR3791 CAMION REVOLVEDOR,
,129508879,120127,03/12/2022,02:41:23 p. m.,71366,l,ERAMOSM,CONSUMO_OPH,243,16008895,CR5037 CAMION REVOLVEDOR,
,129508990,120129,03/12/2022,02:41:23 p. m.,9534,h,ERAMOSM,TIEMPO,10,16008895,CR5037 CAMION REVOLVEDOR,
,129508981,53495,03/12/2022,02:41:56 p. m.,233980,l,SHRAMIREZ,CONSUMO_OPH,211,16001919,CR3825 CAMION REVOLVEDOR,
,129508982,105249,03/12/2022,02:41:56 p. m.,31409.3,h,SHRAMIREZ,TIEMPO,19,16001919,CR3825 CAMION REVOLVEDOR,
,129508991,52154,03/12/2022,02:42:24 p. m.,172359,l,ERAMOSM,CONSUMO_OPH,120,16001264,CR3621 CAMION REVOLVEDOR,
,129508992,106698,03/12/2022,02:42:24 p. m.,27050,h,ERAMOSM,TIEMPO,10,16001264,CR3621 CAMION REVOLVEDOR,
,129508983,53422,03/12/2022,02:43:00 p. m.,242194,l,SHRAMIREZ,CONSUMO_OPH,202,16001846,CR3381 CAMION REVOLVEDOR,
,129508984,105263,03/12/2022,02:43:00 p. m.,34968,h,SHRAMIREZ,TIEMPO,20,16001846,CR3381 CAMION REVOLVEDOR,
,129508985,54077,03/12/2022,02:45:09 p. m.,179575,l,SHRAMIREZ,CONSUMO_OPH,97,16002110,CR2813 CAMION REVOLVEDOR,
,129508986,105792,03/12/2022,02:45:09 p. m.,33094.07,h,SHRAMIREZ,TIEMPO,12,16002110,CR2813 CAMION REVOLVEDOR,
,129508987,52886,03/12/2022,02:45:18 p. m.,211381,l,VACUEVAS,CONSUMO_OPH,278,16001597,CR3282 CAMION REVOLVEDOR,
,129508988,108120,03/12/2022,02:45:18 p. m.,31136,h,VACUEVAS,TIEMPO,20,16001597,CR3282 CAMION REVOLVEDOR,
,129508989,54262,03/12/2022,02:46:19 p. m.,206692,l,SHRAMIREZ,CONSUMO_OPH,240,16002241,CR3800 CAMION REVOLVEDOR,
,129509000,106148,03/12/2022,02:46:19 p. m.,34386.5,h,SHRAMIREZ,TIEMPO,32,16002241,CR3800 CAMION REVOLVEDOR,
,129509001,52990,03/12/2022,02:47:34 p. m.,210393,l,VACUEVAS,CONSUMO_OPH,195,16001701,CR3948 CAMION REVOLVEDOR,
,129509002,107289,03/12/2022,02:47:34 p. m.,27193.3,h,VACUEVAS,TIEMPO,16,16001701,CR3948 CAMION REVOLVEDOR,
,129509003,110812,03/12/2022,02:48:31 p. m.,8321,l,VACUEVAS,CONSUMO_OPH,150,9000238,CF9246,
,129509004,110813,03/12/2022,02:48:31 p. m.,14779.4,h,VACUEVAS,TIEMPO,22.6,9000238,CF9246,
,129509005,54064,03/12/2022,02:50:18 p. m.,234482,l,VACUEVAS,CONSUMO_OPH,205,16002097,CR2796 CAMION REVOLVEDOR,
,129509006,107764,03/12/2022,02:50:18 p. m.,36248.4,h,VACUEVAS,TIEMPO,15.9,16002097,CR2796 CAMION REVOLVEDOR,
,129508993,120364,03/12/2022,02:50:45 p. m.,77850,l,ERAMOSM,CONSUMO_OPH,255,16008974,CR5116 CAMION REVOLVEDOR,
,129508994,120366,03/12/2022,02:50:45 p. m.,10630,h,ERAMOSM,TIEMPO,15,16008974,CR5116 CAMION REVOLVEDOR,
,129509007,53363,03/12/2022,02:50:58 p. m.,152854,l,VACUEVAS,CONSUMO_OPH,201,11002978,CR3011 CAMION REVOLVEDOR,
,129509008,57279,03/12/2022,02:50:58 p. m.,34824.5,h,VACUEVAS,TIEMPO,16.4,11002978,CR3011 CAMION REVOLVEDOR,
,129509009,93901,03/12/2022,02:52:02 p. m.,225029,l,VACUEVAS,CONSUMO_OPH,262,11007980,CR4101 CAMION REVOLVEDOR,
,129509010,107280,03/12/2022,02:52:02 p. m.,18979.1,h,VACUEVAS,TIEMPO,15.1,11007980,CR4101 CAMION REVOLVEDOR,
,129509011,119557,03/12/2022,02:53:38 p. m.,60063,l,RFCABALLERO,CONSUMO_OPH,132,16008751,CR4900 CAMION REVOLVEDOR,
,129509012,119559,03/12/2022,02:53:38 p. m.,7393,h,RFCABALLERO,TIEMPO,22,16008751,CR4900 CAMION REVOLVEDOR,
,129508893,112152,03/12/2022,02:55:09 p. m.,120007,l,ROLGUINS,CONSUMO_OPH,200,16007361,CR4303 CAMION REVOLVEDOR,
,129508894,112154,03/12/2022,02:55:09 p. m.,14563,h,ROLGUINS,TIEMPO,24,16007361,CR4303 CAMION REVOLVEDOR,
,129509013,94415,03/12/2022,02:55:28 p. m.,187152,l,RFCABALLERO,CONSUMO_OPH,198,11008209,CR4209 CAMION REVOLVEDOR,
,129509014,106205,03/12/2022,02:55:28 p. m.,20486.2,h,RFCABALLERO,TIEMPO,20,11008209,CR4209 CAMION REVOLVEDOR,
,129508895,123242,03/12/2022,02:55:57 p. m.,40735,l,ROLGUINS,CONSUMO_OPH,110,16009431,CR5307 CAMION REVOLVEDOR,
,129508896,123244,03/12/2022,02:55:57 p. m.,5675,h,ROLGUINS,TIEMPO,16,16009431,CR5307 CAMION REVOLVEDOR,
,129508897,112407,03/12/2022,02:56:27 p. m.,94308,l,ROLGUINS,CONSUMO_OPH,210,16007446,CR4388 CAMION REVOLVEDOR,
,129508898,112409,03/12/2022,02:56:27 p. m.,13203,h,ROLGUINS,TIEMPO,36,16007446,CR4388 CAMION REVOLVEDOR,
